F;A;M;Z;element;J;decay mode;% branch;excitation energy [MeV];Q [MeV];T½;abundance;atomic mass [MeV];uncertain in mass [MeV];S;date;T½ [s]
;22;;7;N;(0-,1-);B-;100.00;0.0000;22.755;20 MS 2;;32.0380;0.1920;;10SU03;2.00E-02
;22;;7;N;(0-,1-);BN;33.00;0.0000;15.904;20 MS 2;;32.0380;0.1920;;10SU03;2.00E-02
;22;;7;N;(0-,1-);B2N;12.00;0.0000;22.755;20 MS 2;;32.0380;0.1920;;10SU03;2.00E-02
;23;;7;N;;B-;100.00;0.0000;23.783;14.5 MS 14;;38.4430;0.2980;S;200703;1.45E-02
;23;;7;N;;BN;;0.0000;21.041;14.5 MS 14;;38.4430;0.2980;S;200703;1.45E-02
;23;;7;N;;B2N;;0.0000;23.783;14.5 MS 14;;38.4430;0.2980;S;200703;1.45E-02
;24;;7;N;;N;?;0.0000;1.076;52 NS LT;;47.5430;0.4010;S;200710;5.20E-08
;25;;7;N;;;;;0.000;;;56.5040;0.5030;S;;0.00E+00
;12;;8;O;0+;P;;0.0000;0.455;0.40 MEV 25;;32.0470;0.0180;;200006;1.19E-21
;13;;8;O;(3/2-);EC;100.00;0.0000;17.767;8.58 MS 5;;23.1140;0.0090;;200006;8.58E-03
;13;;8;O;(3/2-);EP;100.00;0.0000;15.823;8.58 MS 5;;23.1140;0.0090;;200006;8.58E-03
;14;;8;O;0+;EC;100.00;0.0000;5.144;70.620 S 15;;8.0070;0.0000;;09HA12;7.06E+01
;15;;8;O;1/2-;EC;100.00;0.0000;2.754;122.24 S 16;;2.8550;0.0000;;200204;1.22E+02
;16;;8;O;0+;;;0.0000;0.000;STABLE;99.757% 16;-4.7370;0.0000;;199902;0.00E+00
;17;;8;O;5/2+;;;0.0000;0.000;STABLE;0.038% 1;-0.8088;0.0000;;199902;0.00E+00
;18;;8;O;0+;;;0.0000;0.000;STABLE;0.205% 14;-0.7828;0.0000;;199607;0.00E+00
;19;;8;O;5/2+;B-;100.00;0.0000;4.822;26.88 S 5;;3.3330;0.0020;;199607;2.69E+01
;20;;8;O;0+;B-;100.00;0.0000;3.815;13.51 S 5;;3.7960;0.0000;;199807;1.35E+01
;21;;8;O;(5/2+);B-;100.00;0.0000;8.110;3.42 S 10;;8.0610;0.0120;;200412;3.42E+00
;22;;8;O;0+;B-;100.00;0.0000;6.491;2.25 S 9;;9.2810;0.0560;;200512;2.25E+00
;22;;8;O;0+;BN;< 22.00;0.0000;1.260;2.25 S 9;;9.2810;0.0560;;200512;2.25E+00
;23;;8;O;1/2+;B-;100.00;0.0000;11.283;97 MS 8;;14.6200;0.0900;;07SU05;9.70E-02
;23;;8;O;1/2+;BN;7.00;0.0000;3.748;97 MS 8;;14.6200;0.0900;;07SU05;9.70E-02
;24;;8;O;0+;B-;100.00;0.0000;11.511;65 MS 5;;18.5000;0.1090;;200710;6.50E-02
;24;;8;O;0+;BN;58.00;0.0000;7.669;65 MS 5;;18.5000;0.1090;;200710;6.50E-02
;25;;8;O;;;;;0.000;;;27.3470;0.1100;;;0.00E+00
;26;;8;O;0+;N;?;0.0000;0.200;40 NS LT;;35.1430;0.1490;S;NUBASE;4.00E-08
;27;;8;O;;N;?;;1.170;260 NS LT;;44.0970;0.5960;S;NUBASE;2.60E-07
;28;;8;O;0+;N;?;;0.824;100 NS LT;;52.9000;0.6990;S;NUBASE;1.00E-07
;14;;9;F;(2-);P;;0.0000;2.257;;;31.9630;0.0410;;;0.00E+00
;15;;9;F;(1/2+);P;100.00;0.0000;1.479;1.0 MEV 2;;16.8120;0.0710;;200204;4.75E-22
;16;;9;F;0-;P;100.00;0.0000;0.536;40 KEV 20;;10.6800;0.0080;;199902;1.19E-20
;17;;9;F;5/2+;EC;100.00;0.0000;2.761;64.49 S 16;;1.9510;0.0000;;199902;6.45E+01
;18;;9;F;1+;EC;100.00;0.0000;1.655;109.77 M 5;;0.8730;0.0000;;199607;6.59E+03
