F;A;M;Z;element;J;decay mode;% branch;excitation energy [MeV];Q [MeV];T½;abundance;atomic mass [MeV];uncertain in mass [MeV];S;date;T½ [s]
;129;;53;I;7/2+;B-;100.00;0.0000;0.194;1.57E+7 Y 4;;-88.5070;0.0030;;199605;4.95E+14
F;130;;53;I;5+;B-;100.00;0.0000;2.949;12.36 H 1;;-86.9360;0.0030;;200107;4.45E+04
;130;M;53;I;2+;IT;84.00;0.0400;0.040;8.84 M 6;;-86.8960;0.0030;;200107;5.30E+02
;130;M;53;I;2+;B-;16.00;0.0400;2.989;8.84 M 6;;-86.8960;0.0030;;200107;5.30E+02
F;131;;53;I;7/2+;B-;100.00;0.0000;0.971;8.0252 D 6;;-87.4420;0.0000;;200612;6.93E+05
F;132;;53;I;4+;B-;100.00;0.0000;3.581;2.295 H 13;;-85.6980;0.0050;;200504;8.26E+03
;132;M;53;I;(8-);IT;86.00;0.1200;0.120;1.387 H 15;;-85.5780;0.0050;;200504;4.99E+03
;132;M;53;I;(8-);B-;14.00;0.1200;3.701;1.387 H 15;;-85.5780;0.0050;;200504;4.99E+03
F;133;;53;I;7/2+;B-;100.00;0.0000;1.757;20.83 H 8;;-85.8860;0.0040;;201104;7.50E+04
;133;M;53;I;(19/2-);IT;100.00;1.6341;1.634;9 S 2;;-84.2519;0.0040;;201104;9.00E+00
F;134;;53;I;(4)+;B-;100.00;0.0000;4.052;52.5 M 2;;-84.0720;0.0080;;200410;3.15E+03
;134;M;53;I;(8)-;IT;97.70;0.3165;0.317;3.52 M 4;;-83.7555;0.0080;;200410;2.11E+02
;134;M;53;I;(8)-;B-;2.30;0.3165;4.369;3.52 M 4;;-83.7555;0.0080;;200410;2.11E+02
F;135;;53;I;7/2+;B-;100.00;0.0000;2.627;6.58 H 3;;-83.7910;0.0070;;200803;2.37E+04
F;136;;53;I;(1-);B-;100.00;0.0000;6.926;83.4 S 10;;-79.5720;0.0180;;200206;8.34E+01
;136;M;53;I;(6-);B-;100.00;0.6400;7.566;46.9 S 10;;-78.9320;0.0180;;200206;4.69E+01
F;137;;53;I;(7/2+);B-;100.00;0.0000;5.877;24.5 S 2;;-76.5060;0.0260;;200709;2.45E+01
F;137;;53;I;(7/2+);BN;7.14;0.0000;1.851;24.5 S 2;;-76.5060;0.0260;;200709;2.45E+01
F;138;;53;I;(2-);B-;100.00;0.0000;7.820;6.23 S 3;;-71.9050;0.1000;S;200305;6.23E+00
F;138;;53;I;(2-);BN;5.56;0.0000;1.977;6.23 S 3;;-71.9050;0.1000;S;200305;6.23E+00
F;139;;53;I;(7/2+);B-;100.00;0.0000;6.806;2.280 S 11;;-68.5270;0.1210;;200808;2.28E+00
F;139;;53;I;(7/2+);BN;10.00;0.0000;3.242;2.280 S 11;;-68.5270;0.1210;;200808;2.28E+00
F;140;;53;I;(4-);B-;100.00;0.0000;8.718;0.86 S 4;;-63.5950;0.1210;;200707;8.60E-01
F;140;;53;I;(4-);BN;9.30;0.0000;3.299;0.86 S 4;;-63.5950;0.1210;;200707;8.60E-01
F;141;;53;I;;B-;100.00;0.0000;7.808;0.43 S 2;;-60.3010;0.1270;;200103;4.30E-01
F;141;;53;I;;BN;21.20;0.0000;4.401;0.43 S 2;;-60.3010;0.1270;;200103;4.30E-01
F;142;;53;I;;B-;100.00;0.0000;9.753;222 MS 12;;-55.0230;0.4010;S;;2.22E-01
F;142;;53;I;;BN;?;0.0000;4.534;222 MS 12;;-55.0230;0.4010;S;;2.22E-01
;143;;53;I;;B-;?;0.0000;8.803;130 MS 45;;-51.0650;0.4010;S;11NDS;1.30E-01
;144;;53;I;;B-;?;0.0000;10.694;300 NS GT;;-45.7740;0.5030;S;200108;3.00E-07
;145;;53;I;;B-;;0.0000;0.000;407 NS GT;;0.0000;0.0000;;201008;4.07E-07
;145;;53;I;;BN;;0.0000;0.000;407 NS GT;;0.0000;0.0000;;201008;4.07E-07
;108;;54;Xe;0+;;;;0.000;;;-42.6720;0.4010;S;;0.00E+00
;109;;54;Xe;(7/2+);A;100.00;0.0000;4.217;13 MS 2;;-45.9200;0.2980;S;200611;1.30E-02
;110;;54;Xe;0+;A;64.00;0.0000;3.885;93 MS 3;;-51.9190;0.1010;;200710;9.30E-02
;110;;54;Xe;0+;EC;;0.0000;8.417;93 MS 3;;-51.9190;0.1010;;200710;9.30E-02
;110;;54;Xe;0+;EP;;0.0000;8.418;93 MS 3;;-51.9190;0.1010;;200710;9.30E-02
;111;;54;Xe;(7/2+);EC;90.00;0.0000;10.550;0.81 S 20;;-54.3920;0.0860;;10DA17;8.10E-01
;111;;54;Xe;(7/2+);A;10.00;0.0000;3.719;0.81 S 20;;-54.3920;0.0860;;10DA17;8.10E-01
;112;;54;Xe;0+;EC;99.16;0.0000;7.129;2.7 S 8;;-60.0280;0.0080;;970102;2.70E+00
;112;;54;Xe;0+;A;0.84;0.0000;3.330;2.7 S 8;;-60.0280;0.0080;;900207;2.70E+00
;113;;54;Xe;(5/2+);EC;;0.0000;9.036;2.74 S 8;;-62.2030;0.0060;;201006;2.74E+00
;113;;54;Xe;(5/2+);EP;7.00;0.0000;7.920;2.74 S 8;;-62.2030;0.0060;;201006;2.74E+00
;113;;54;Xe;(5/2+);A;@  0.01;0.0000;3.095;2.74 S 8;;-62.2030;0.0060;;201006;2.74E+00
;113;;54;Xe;(5/2+);EA;@7.0E-3;0.0000;0.000;2.74 S 8;;-62.2030;0.0060;;201006;2.74E+00
;114;;54;Xe;0+;EC;100.00;0.0000;5.710;10.0 S 4;;-67.0850;0.0110;;200301;1.00E+01
;115;;54;Xe;(5/2+);EC;100.00;0.0000;7.681;18 S 4;;-68.6560;0.0120;;200505;1.80E+01
;115;;54;Xe;(5/2+);EP;0.34;0.0000;5.943;18 S 4;;-68.6560;0.0120;;200505;1.80E+01
;115;;54;Xe;(5/2+);A;3.0E-4;0.0000;2.403;18 S 4;;-68.6560;0.0120;;200505;1.80E+01
;116;;54;Xe;0+;EC;100.00;0.0000;4.446;59 S 2;;-73.0460;0.0130;;201004;5.90E+01
;117;;54;Xe;5/2(+);EC;100.00;0.0000;6.249;61 S 2;;-74.1850;0.0100;;201101;6.10E+01
;117;;54;Xe;5/2(+);EP;2.9E-3;0.0000;3.795;61 S 2;;-74.1850;0.0100;;201101;6.10E+01
;118;;54;Xe;0+;EC;100.00;0.0000;2.892;3.8 M 9;;-78.0790;0.0100;;950531;2.28E+02
;119;;54;Xe;(5/2+);EC;100.00;0.0000;4.971;5.8 M 3;;-78.7940;0.0100;;200910;3.48E+02
;120;;54;Xe;0+;EC;100.00;0.0000;1.617;40 M 1;;-82.1720;0.0110;;200209;2.40E+03
;121;;54;Xe;5/2(+);EC;100.00;0.0000;3.814;40.1 M 20;;-82.4720;0.0110;;201006;2.41E+03
;122;;54;Xe;0+;EC;100.00;0.0000;0.725;20.1 H 1;;-85.3540;0.0110;;200704;7.24E+04
;123;;54;Xe;(1/2)+;EC;100.00;0.0000;2.695;2.08 H 2;;-85.2490;0.0090;;200410;7.49E+03
;124;;54;Xe;0+;2EC;;0.0000;0.000;1.6E+14 Y GE;0.0952% 3;-87.6610;0.0010;;200807;5.05E+21
;125;;54;Xe;1/2(+);EC;100.00;0.0000;1.644;16.9 H 2;;-87.1930;0.0010;;201102;6.08E+04
;125;M;54;Xe;9/2(-);IT;100.00;0.2526;0.253;57 S 1;;-86.9404;0.0010;;201102;5.70E+01
;126;;54;Xe;0+;;;0.0000;0.000;STABLE;0.0890% 2;-89.1460;0.0030;;200301;0.00E+00
;127;;54;Xe;1/2+;EC;100.00;0.0000;0.662;36.346 D 3;;-88.3220;0.0040;;199601;3.14E+06
;127;M;54;Xe;9/2-;IT;100.00;0.2971;0.297;69.2 S 9;;-88.0249;0.0040;;199601;6.92E+01
;128;;54;Xe;0+;;;0.0000;0.000;STABLE;1.9102% 8;-89.8600;0.0010;;200112;0.00E+00
;129;;54;Xe;1/2+;;;0.0000;0.000;STABLE;26.4006% 82;-88.6961;0.0000;;199605;0.00E+00
;129;M;54;Xe;11/2-;IT;100.00;0.2361;0.236;8.88 D 2;;-88.4600;0.0000;;199605;7.67E+05
;130;;54;Xe;0+;;;0.0000;0.000;STABLE;4.0710% 13;-89.8800;0.0000;;200107;0.00E+00
;131;;54;Xe;3/2+;;;0.0000;0.000;STABLE;21.232% 30;-88.4130;0.0000;;200612;0.00E+00
;131;M;54;Xe;11/2-;IT;100.00;0.1639;0.164;11.84 D 4;;-88.2491;0.0000;;200612;1.02E+06
;132;;54;Xe;0+;;;0.0000;0.000;STABLE;26.9086% 33;-89.2790;0.0000;;200504;0.00E+00
;132;M;54;Xe;(10+);IT;100.00;2.7522;2.752;8.39 MS 11;;-86.5268;0.0000;;200504;8.39E-03
F;133;;54;Xe;3/2+;B-;100.00;0.0000;0.427;5.2475 D 5;;-87.6430;0.0020;;201104;4.53E+05
;133;M;54;Xe;11/2-;IT;100.00;0.2332;0.233;2.198 D 13;;-87.4098;0.0020;;201104;1.90E+05
F;134;;54;Xe;0+;2B-;;0.0000;0.825;5.8E+22 Y GT;10.4357% 21;-88.1240;0.0000;;200410;1.83E+30
;134;M;54;Xe;7-;IT;100.00;1.9655;1.965;290 MS 17;;-86.1585;0.0000;;200410;2.90E-01
F;135;;54;Xe;3/2+;B-;100.00;0.0000;1.165;9.14 H 2;;-86.4170;0.0040;;200803;3.29E+04
;135;M;54;Xe;11/2-;IT;> 99.40;0.5266;0.527;15.29 M 5;;-85.8904;0.0040;;200803;9.17E+02
;135;M;54;Xe;11/2-;B-;<  0.60;0.5266;1.692;15.29 M 5;;-85.8904;0.0040;;200803;9.17E+02
F;136;;54;Xe;0+;2B-;;0.0000;2.462;2.4E+21 Y GT;8.8573% 44;-86.4290;0.0000;;04GA49;7.57E+28
F;137;;54;Xe;7/2-;B-;100.00;0.0000;4.166;3.818 M 13;;-82.3830;0.0000;;200709;2.29E+02
F;138;;54;Xe;0+;B-;100.00;0.0000;2.737;14.08 M 8;;-79.9750;0.0030;;200305;8.45E+02
F;139;;54;Xe;3/2-;B-;100.00;0.0000;5.057;39.68 S 14;;-75.6440;0.0020;;200104;3.97E+01
F;140;;54;Xe;0+;B-;100.00;0.0000;4.060;13.60 S 10;;-72.9860;0.0020;;200707;1.36E+01
F;141;;54;Xe;5/2(-);B-;100.00;0.0000;6.150;1.73 S 1;;-68.1970;0.0020;;200103;1.73E+00
F;141;;54;Xe;5/2(-);BN;0.04;0.0000;0.653;1.73 S 1;;-68.1970;0.0020;;200103;1.73E+00
F;142;;54;Xe;0+;B-;100.00;0.0000;5.040;1.23 S 2;;-65.2290;0.0020;;;1.23E+00
F;142;;54;Xe;0+;BN;0.21;0.0000;0.930;1.23 S 2;;-65.2290;0.0020;;;1.23E+00
F;143;;54;Xe;5/2-;B-;100.00;0.0000;7.227;0.511 S 6;;-60.2020;0.0040;;11NDS5;5.11E-01
F;143;;54;Xe;5/2-;BN;1.00;0.0000;1.999;0.511 S 6;;-60.2020;0.0040;;11NDS5;5.11E-01
F;144;;54;Xe;0+;B-;100.00;0.0000;5.992;0.388 S 7;;-56.8720;0.0050;;03BE05;3.88E-01
F;144;;54;Xe;0+;BN;3.00;0.0000;2.323;0.388 S 7;;-56.8720;0.0050;;03BE05;3.88E-01
;145;;54;Xe;;B-;100.00;0.0000;7.959;188 MS 4;;-51.4930;0.0110;;200902;1.88E-01
;145;;54;Xe;;BN;5.00;0.0000;3.100;188 MS 4;;-51.4930;0.0110;;200902;1.88E-01
;146;;54;Xe;0+;B-;100.00;0.0000;6.949;146 MS 6;;-47.9540;0.0240;;03BE05;1.46E-01
;146;;54;Xe;0+;BN;6.90;0.0000;3.315;146 MS 6;;-47.9540;0.0240;;03BE05;1.46E-01
;147;;54;Xe;(3/2-);B-;;0.0000;8.761;0.10 S +10-5;;-42.5320;0.4010;S;200902;1.00E-01
;147;;54;Xe;(3/2-);BN;<  8.00;0.0000;4.290;0.10 S +10-5;;-42.5320;0.4010;S;200902;1.00E-01
;148;;54;Xe;0+;B-;;0.0000;0.000;408 NS GT;;0.0000;0.0000;;201008;4.08E-07
;148;;54;Xe;0+;BN;;0.0000;0.000;408 NS GT;;0.0000;0.0000;;201008;4.08E-07
;112;;55;Cs;(0+,3+);P;100.00;0.0000;0.814;0.5 MS 1;;-46.2890;0.0860;;200202;5.00E-04
;113;;55;Cs;(3/2+);P;100.00;0.0000;0.974;16.7 US 7;;-51.7650;0.0080;;201006;1.67E-05
;113;;55;Cs;(3/2+);A;;0.0000;3.484;16.7 US 7;;-51.7650;0.0080;;201006;1.67E-05
;114;;55;Cs;(1+);EC;99.98;0.0000;12.547;0.57 S 2;;-54.6820;0.0710;;200710;5.70E-01
;114;;55;Cs;(1+);EP;8.70;0.0000;9.300;0.57 S 2;;-54.6820;0.0710;;200710;5.70E-01
;114;;55;Cs;(1+);EA;0.19;0.0000;0.000;0.57 S 2;;-54.6820;0.0710;;200710;5.70E-01
;114;;55;Cs;(1+);A;0.02;0.0000;3.357;0.57 S 2;;-54.6820;0.0710;;200710;5.70E-01
;115;;55;Cs;;EC;100.00;0.0000;8.957;1.4 S 8;;-59.6990;0.2980;S;200505;1.40E+00
;115;;55;Cs;;EP;@  0.07;0.0000;5.808;1.4 S 8;;-59.6990;0.2980;S;200505;1.40E+00
;116;;55;Cs;(1+);EC;100.00;0.0000;10.979;0.70 S 4;;-62.0680;0.1010;S;201004;7.00E-01
;116;;55;Cs;(1+);EP;2.80;0.0000;6.981;0.70 S 4;;-62.0680;0.1010;S;201004;7.00E-01
;116;;55;Cs;(1+);EA;0.05;0.0000;0.000;0.70 S 4;;-62.0680;0.1010;S;201004;7.00E-01
;116;M;55;Cs;4+,5,6;EC;100.00;0.1000;11.079;3.85 S 13;;-61.9680;0.1010;S;201004;3.85E+00
;116;M;55;Cs;4+,5,6;EP;0.51;0.1000;7.081;3.85 S 13;;-61.9680;0.1010;S;201004;3.85E+00
;116;M;55;Cs;4+,5,6;EA;8.0E-3;0.1000;0.000;3.85 S 13;;-61.9680;0.1010;S;201004;3.85E+00
;117;M;55;Cs;(9/2+);EC;100.00;0.0000;7.743;8.4 S 6;;-66.4930;0.0620;;201101;8.40E+00
;117;M;55;Cs;(3/2+);EC;;0.0000;7.743;6.5 S 4;;-66.4930;0.0620;;201101;6.50E+00
;118;;55;Cs;2;EC;100.00;0.0000;9.670;14 S 2;;-68.4090;0.0120;;950531;1.40E+01
;118;;55;Cs;2;EP;<  0.04;0.0000;4.736;14 S 2;;-68.4090;0.0120;;950531;1.40E+01
;118;;55;Cs;2;EA;<2.4E-3;0.0000;11.080;14 S 2;;-68.4090;0.0120;;950531;1.40E+01
;118;M;55;Cs;6,7,8;EC;100.00;0.0000;9.670;17 S 3;;-68.4090;0.0120;;950531;1.70E+01
;118;M;55;Cs;6,7,8;EP;<  0.04;0.0000;4.736;17 S 3;;-68.4090;0.0120;;950531;1.70E+01
;118;M;55;Cs;6,7,8;EA;<2.4E-3;0.0000;11.080;17 S 3;;-68.4090;0.0120;;950531;1.70E+01
;119;;55;Cs;9/2+;EC;100.00;0.0000;6.489;43.0 S 2;;-72.3050;0.0130;;200910;4.30E+01
;119;M;55;Cs;3/2(+);EC;100.00;0.0000;6.489;30.4 S 1;;-72.3050;0.0130;;200910;3.04E+01
;120;;55;Cs;2(+);EC;100.00;0.0000;8.284;61.3 S 11;;-73.8880;0.0090;;200209;6.13E+01
;120;;55;Cs;2(+);EA;2.0E-5;0.0000;8.990;61.3 S 11;;-73.8880;0.0090;;200209;6.13E+01
;120;;55;Cs;2(+);EP;7.0E-6;0.0000;2.588;61.3 S 11;;-73.8880;0.0090;;200209;6.13E+01
;120;M;55;Cs;(7-);EC;100.00;0.0000;8.284;57 S 6;;-73.8880;0.0090;;200209;5.70E+01
;121;;55;Cs;3/2(+);EC;100.00;0.0000;5.372;155 S 4;;-77.1000;0.0130;;201006;1.55E+02
;121;M;55;Cs;9/2(+);EC;83.00;0.0685;5.441;122 S 3;;-77.0315;0.0130;;201006;1.22E+02
;121;M;55;Cs;9/2(+);IT;17.00;0.0685;0.068;122 S 3;;-77.0315;0.0130;;201006;1.22E+02
;122;;55;Cs;1+;EC;100.00;0.0000;7.215;21.18 S 19;;-78.1420;0.0330;;200704;2.12E+01
;122;M;55;Cs;(5)-;IT;100.00;0.1271;0.127;0.36 S 2;;-78.0149;0.0330;;200704;3.60E-01
;122;M;55;Cs;8(-);EC;100.00;0.1400;7.355;3.70 M 11;;-78.0020;0.0330;;200704;2.22E+02
;123;;55;Cs;1/2+;EC;100.00;0.0000;4.205;5.88 M 3;;-81.0430;0.0120;;200410;3.53E+02
;123;M;55;Cs;(11/2)-;IT;100.00;0.1563;0.156;1.64 S 12;;-80.8867;0.0120;;200410;1.64E+00
;124;;55;Cs;1+;EC;100.00;0.0000;5.929;30.9 S 4;;-81.7310;0.0080;;200807;3.09E+01
;124;M;55;Cs;(7)+;IT;100.00;0.4626;0.463;6.3 S 2;;-81.2684;0.0080;;200807;6.30E+00
;125;;55;Cs;1/2(+);EC;100.00;0.0000;3.104;46.7 M 1;;-84.0870;0.0070;;201102;2.80E+03
;125;M;55;Cs;(11/2-);IT;100.00;0.2661;0.266;0.90 MS 3;;-83.8209;0.0070;;201102;9.00E-04
;126;;55;Cs;1+;EC;100.00;0.0000;4.824;1.64 M 2;;-84.3440;0.0120;;200301;9.84E+01
;127;;55;Cs;1/2+;EC;100.00;0.0000;2.081;6.25 H 10;;-86.2400;0.0050;;199601;2.25E+04
!;127;M;55;Cs;(11/2)-;IT;100.00;0.4522;0.452;55 US 3;;-85.7878;0.0050;;199601;5.50E-05
;128;;55;Cs;1+;EC;100.00;0.0000;3.929;3.66 M 2;;-85.9310;0.0050;;200112;2.20E+02
;129;;55;Cs;1/2+;EC;100.00;0.0000;1.197;32.06 H 6;;-87.4990;0.0040;;199605;1.15E+05
;130;;55;Cs;1+;EC;98.40;0.0000;2.979;29.21 M 4;;-86.8990;0.0080;;200107;1.75E+03
;130;;55;Cs;1+;B-;1.60;0.0000;0.361;29.21 M 4;;-86.8990;0.0080;;200107;1.75E+03
;130;M;55;Cs;5-;IT;99.84;0.1632;0.163;3.46 M 6;;-86.7358;0.0080;;200107;2.08E+02
;130;M;55;Cs;5-;EC;0.16;0.1632;3.142;3.46 M 6;;-86.7358;0.0080;;200107;2.08E+02
;131;;55;Cs;5/2+;EC;100.00;0.0000;0.355;9.689 D 16;;-88.0580;0.0040;;200612;8.37E+05
;132;;55;Cs;2+;EC;98.13;0.0000;1.279;6.480 D 6;;-87.1550;0.0010;;200504;5.60E+05
;132;;55;Cs;2+;B-;1.87;0.0000;1.279;6.480 D 6;;-87.1550;0.0010;;200504;5.60E+05
;133;;55;Cs;7/2+;;;0.0000;0.000;STABLE;100%;-88.0700;0.0000;;201104;0.00E+00
;134;;55;Cs;4+;B-;100.00;0.0000;2.059;2.0652 Y 4;;-86.8910;0.0000;;200410;6.52E+07
;134;;55;Cs;4+;EC;3.0E-4;0.0000;2.059;2.0652 Y 4;;-86.8910;0.0000;;200410;6.52E+07
;134;M;55;Cs;8-;IT;100.00;0.1387;0.139;2.912 H 2;;-86.7523;0.0000;;200410;1.05E+04
F;135;;55;Cs;7/2+;B-;100.00;0.0000;0.269;2.3E+6 Y 3;;-87.5810;0.0010;;200803;7.26E+13
;135;M;55;Cs;19/2-;IT;100.00;1.6329;1.633;53 M 2;;-85.9481;0.0010;;200803;3.18E+03
F;136;;55;Cs;5+;B-;100.00;0.0000;2.548;13.04 D 3;;-86.3390;0.0010;;04PA06;1.13E+06
;136;M;55;Cs;8-;B-;;0.5179;3.066;17.5 S 2;;-85.8211;0.0010;;11WIAA;1.75E+01
;136;M;55;Cs;8-;IT;>  0.00;0.5179;0.518;17.5 S 2;;-85.8211;0.0010;;11WIAA;1.75E+01
F;137;;55;Cs;7/2+;B-;100.00;0.0000;1.176;30.08 Y 9;;-86.5450;0.0000;;200709;9.49E+08
F;138;;55;Cs;3-;B-;100.00;0.0000;5.374;33.41 M 18;;-82.8870;0.0090;;200305;2.00E+03
;138;M;55;Cs;6-;IT;81.00;0.0799;0.080;2.91 M 8;;-82.8071;0.0090;;200305;1.75E+02
;138;M;55;Cs;6-;B-;19.00;0.0799;5.454;2.91 M 8;;-82.8071;0.0090;;200305;1.75E+02
F;139;;55;Cs;7/2+;B-;100.00;0.0000;4.213;9.27 M 5;;-80.7010;0.0030;;200104;5.56E+02
F;140;;55;Cs;1-;B-;100.00;0.0000;6.220;63.7 S 3;;-77.0500;0.0080;;200707;6.37E+01
F;141;;55;Cs;7/2+;B-;100.00;0.0000;5.249;24.84 S 16;;-74.4800;0.0100;;200103;2.48E+01
F;141;;55;Cs;7/2+;BN;0.04;0.0000;0.723;24.84 S 16;;-74.4800;0.0100;;200103;2.48E+01
F;142;;55;Cs;0-;B-;100.00;0.0000;7.308;1.684 S 14;;-70.5250;0.0100;;;1.68E+00
F;142;;55;Cs;0-;BN;0.09;0.0000;1.139;1.684 S 14;;-70.5250;0.0100;;;1.68E+00
F;143;;55;Cs;3/2+;B-;100.00;0.0000;6.264;1.791 S 7;;-67.6740;0.0220;;200201;1.79E+00
F;143;;55;Cs;3/2+;BN;1.64;0.0000;2.080;1.791 S 7;;-67.6740;0.0220;;200201;1.79E+00
F;144;;55;Cs;1(-);B-;100.00;0.0000;8.499;0.994 S 6;;-63.2710;0.0250;;201005;9.94E-01
F;144;;55;Cs;1(-);BN;3.03;0.0000;2.594;0.994 S 6;;-63.2710;0.0250;;201005;9.94E-01
;144;M;55;Cs;(GE4);B-;;0.0000;8.499;1 S LT;;-63.2710;0.0250;;201005;1.00E+00
F;145;;55;Cs;3/2+;B-;100.00;0.0000;7.358;0.587 S 5;;-60.0550;0.0100;;200902;5.87E-01
F;145;;55;Cs;3/2+;BN;14.70;0.0000;3.641;0.587 S 5;;-60.0550;0.0100;;200902;5.87E-01
F;146;;55;Cs;1-;B-;100.00;0.0000;9.380;0.321 S 2;;-55.5690;0.0390;;971202;3.21E-01
F;146;;55;Cs;1-;BN;14.20;0.0000;3.724;0.321 S 2;;-55.5690;0.0390;;971202;3.21E-01
F;147;;55;Cs;(3/2+);B-;100.00;0.0000;8.579;0.230 S 1;;-52.0170;0.0530;;200902;2.30E-01
F;147;;55;Cs;(3/2+);BN;28.50;0.0000;4.909;0.230 S 1;;-52.0170;0.0530;;200902;2.30E-01
;148;;55;Cs;;B-;100.00;0.0000;10.710;146 MS 6;;-47.2940;0.5750;;200004;1.46E-01
;148;;55;Cs;;BN;25.10;0.0000;5.224;146 MS 6;;-47.2940;0.5750;;200004;1.46E-01
;149;;55;Cs;;B-;;0.0000;9.641;50 MS GT;;-43.8450;0.1960;S;200406;5.00E-02
;149;;55;Cs;;BN;;0.0000;6.097;50 MS GT;;-43.8450;0.1960;S;200406;5.00E-02
;150;;55;Cs;;B-;;0.0000;11.634;50 MS GT;;-38.9640;0.2980;S;;5.00E-02
;150;;55;Cs;;BN;;0.0000;6.451;50 MS GT;;-38.9640;0.2980;S;;5.00E-02
;151;;55;Cs;;B-;;0.0000;10.600;50 MS GT;;-35.0610;0.4010;S;200901;5.00E-02
;151;;55;Cs;;BN;;0.0000;7.308;50 MS GT;;-35.0610;0.4010;S;200901;5.00E-02
;112;;56;Ba;0+;;;;0.000;;;-36.0860;0.4010;S;;0.00E+00
;113;;56;Ba;;;;;0.000;;;-39.7930;0.2980;S;;0.00E+00
;114;;56;Ba;0+;EC;99.10;0.0000;8.594;0.43 S +30-15;;-45.9600;0.1090;;200301;4.30E-01
;114;;56;Ba;0+;EP;20.00;0.0000;8.858;0.43 S +30-15;;-45.9600;0.1090;;200301;4.30E-01
;114;;56;Ba;0+;A;0.90;0.0000;3.534;0.43 S +30-15;;-45.9600;0.1090;;200301;4.30E-01
;114;;56;Ba;0+;12C;<0.0034;0.0000;18.984;0.43 S +30-15;;-45.9600;0.1090;;200301;4.30E-01
;115;;56;Ba;(5/2+);EC;100.00;0.0000;10.675;0.45 S 5;;-49.0250;0.5960;S;200505;4.50E-01
;115;;56;Ba;(5/2+);EP;> 15.00;0.0000;10.772;0.45 S 5;;-49.0250;0.5960;S;200505;4.50E-01
;116;;56;Ba;0+;EC;100.00;0.0000;7.464;1.3 S 2;;-54.6040;0.4010;S;201004;1.30E+00
;116;;56;Ba;0+;EP;3.00;0.0000;6.764;1.3 S 2;;-54.6040;0.4010;S;201004;1.30E+00
;117;;56;Ba;(3/2);EC;100.00;0.0000;9.155;1.75 S 7;;-57.4570;0.2500;;201101;1.75E+00
;117;;56;Ba;(3/2);EA;>  0.00;0.0000;0.000;1.75 S 7;;-57.4570;0.2500;;201101;1.75E+00
;117;;56;Ba;(3/2);EP;>  0.00;0.0000;8.470;1.75 S 7;;-57.4570;0.2500;;201101;1.75E+00
;118;;56;Ba;0+;EC;100.00;0.0000;6.037;5.5 S 2;;-62.3730;0.1960;S;200612;5.50E+00
;118;;56;Ba;0+;EP;;0.0000;4.524;5.5 S 2;;-62.3730;0.1960;S;200612;5.50E+00
;119;;56;Ba;(5/2+);EC;100.00;0.0000;7.715;5.4 S 3;;-64.5900;0.2000;;200910;5.40E+00
;119;;56;Ba;(5/2+);EP;< 25.00;0.0000;6.200;5.4 S 3;;-64.5900;0.2000;;200910;5.40E+00
;120;;56;Ba;0+;EC;100.00;0.0000;5.000;24 S 2;;-68.8880;0.3000;;200209;2.40E+01
;121;;56;Ba;5/2(+);EC;100.00;0.0000;6.358;29.7 S 15;;-70.7420;0.1410;;201006;2.97E+01
;122;;56;Ba;0+;EC;100.00;0.0000;3.531;1.95 M 15;;-74.6080;0.0270;;200704;1.17E+02
;123;;56;Ba;5/2(+);EC;100.00;0.0000;5.389;2.7 M 4;;-75.6540;0.0120;;200410;1.62E+02
;124;;56;Ba;0+;EC;100.00;0.0000;2.642;11.0 M 5;;-79.0890;0.0120;;200807;6.60E+02
;125;;56;Ba;1/2(+);EC;100.00;0.0000;4.420;3.3 M 3;;-79.6670;0.0110;;201102;1.98E+02
;126;;56;Ba;0+;EC;100.00;0.0000;1.675;100 M 2;;-82.6690;0.0120;;200301;6.00E+03
;127;;56;Ba;1/2+;EC;100.00;0.0000;3.424;12.7 M 4;;-82.8150;0.0110;;199601;7.62E+02
;127;M;56;Ba;7/2-;IT;100.00;0.0803;0.080;1.9 S 2;;-82.7347;0.0110;;199601;1.90E+00
;128;;56;Ba;0+;EC;100.00;0.0000;0.530;2.43 D 5;;-85.3790;0.0050;;200112;2.10E+05
;129;;56;Ba;1/2+;EC;100.00;0.0000;2.436;2.23 H 11;;-85.0640;0.0100;;199605;8.03E+03
;129;M;56;Ba;7/2+;EC;&100.00;0.0084;2.444;2.16 H 2;;-85.0556;0.0100;;199605;7.78E+03
;129;M;56;Ba;7/2+;IT;;0.0084;0.008;2.16 H 2;;-85.0556;0.0100;;199605;7.78E+03
;130;;56;Ba;0+;2EC;;0.0000;0.000;STABLE;0.106% 1;-87.2610;0.0020;;200107;0.00E+00
;130;M;56;Ba;8-;IT;100.00;2.4751;2.475;9.4 MS 4;;-84.7859;0.0020;;200107;9.40E-03
;131;;56;Ba;1/2+;EC;100.00;0.0000;1.376;11.50 D 6;;-86.6840;0.0020;;200612;9.94E+05
;131;M;56;Ba;9/2-;IT;100.00;0.1880;0.188;14.6 M 2;;-86.4960;0.0020;;200612;8.76E+02
;132;;56;Ba;0+;2EC;;0.0000;0.000;3.0E+21 Y GT;0.101% 1;-88.4340;0.0010;;200504;9.47E+28
;133;;56;Ba;1/2+;EC;100.00;0.0000;0.517;10.551 Y 11;;-87.5530;0.0000;;201104;3.33E+08
